"road_id","road_name","road_type","urban_rural","onrc","seal_type","owner_type","total_km","lane_km","traffic","heavy","VKT","VKT_Heavy","adrc","maint","emergency","wol","geom_id"
26,"DORSET STREET SOUTH","Local Authority","Urban","Low Volume","Sealed","L",0.194,0.388,79,0.06,5597,336,14623.15,20453.31,0,35076.46,24
27,"DUBLIN STREET","Local Authority","Urban","Primary Collector","Sealed","L",0.551,1.102,1309,0.066,263200,17402,84086.6,18182.68,246.15,102269.28,25
28,"DURHAM STREET","Local Authority","Urban","Access","Sealed","L",0.555,1.11,305,0.07,61764,4308,29299.63,8135.33,54.05,37434.96,26
28,"DURHAM STREET","Local Authority","Urban","Low Volume","Sealed","L",0.266,0.532,145,0.069,14116,974,7290.67,10748.56,0,18039.23,27
29,"FINLAY GROVE","Local Authority","Urban","Low Volume","Sealed","L",0.14,0.28,65,0.06,3322,199,12149.57,12582.41,0,24731.98,28
30,"GARDEN TERRACE","Local Authority","Urban","Low Volume","Sealed","L",0.383,0.766,65,0.06,9087,545,7380.1,5074.83,0,12454.93,29
31,"GEORGE STREET (PICTON)","Local Authority","Urban","Low Volume","Sealed","L",0.141,0.282,24,0.06,1235,74,12973.73,6601.67,0,19575.4,30
32,"GRAVESEND PLACE","Local Authority","Urban","Access","Sealed","L",0.203,0.203,200,0.06,14819,889,14054.32,7640.3,0,21694.62,31
33,"HAMPDEN STREET NORTH","Local Authority","Urban","Access","Sealed","L",0.652,1.304,253,0.07,60252,4218,20050.24,4986.71,0,25036.95,32
33,"HAMPDEN STREET NORTH","Local Authority","Urban","Low Volume","Sealed","L",0.055,0.11,79,0.06,1586,95,18201.77,4677.54,0,22879.31,33
34,"HAMPDEN STREET CENTRE","Local Authority","Urban","Low Volume","Sealed","L",0.086,0.172,52,0.06,1632,98,14659.19,12051.02,0,26710.21,34
35,"HAMPDEN STREET SOUTH","Local Authority","Urban","Low Volume","Sealed","L",0.204,0.408,163,0.07,12137,850,7207.43,33547.14,0,40754.57,35
36,"HIGH STREET (PICTON)","Local Authority","Urban","Primary Collector","Sealed","L",0.474,0.948,1844,0.088,319083,27971,121435.47,40030.15,268.7,161465.62,36
38,"HUIA STREET","Local Authority","Urban","Access","Sealed","L",0.31,0.62,218,0.07,24667,1727,11568.63,12575.63,0,24144.26,37
39,"KENT STREET","Local Authority","Urban","Access","Sealed","L",0.25,0.5,352,0.07,32090,2246,9723.41,19943.74,0,29667.15,38
39,"KENT STREET","Local Authority","Urban","Arterial","Sealed","L",0.751,1.502,2123,0.268,582054,156181,55302.86,15744.45,0,71047.31,39
39,"KENT STREET","Local Authority","Urban","Low Volume","Sealed","L",0.15,0.217,94,0.066,5173,342,5765.04,6817.57,0,12582.61,40
40,"LAGOON ROAD","Local Authority","Urban","Arterial","Sealed","L",0.222,0.444,2177,0.1,176402,17640,43976.51,6855.47,0,50831.98,41
41,"LEICESTER STREET","Local Authority","Urban","Access","Sealed","L",0.236,0.472,414,0.07,35662,2496,11305.28,6857.56,0,18162.84,42
41,"LEICESTER STREET","Local Authority","Urban","Low Volume","Sealed","L",0.121,0.242,68,0.06,3016,181,18152.24,8416.25,0,26568.49,43
42,"LINCOLN STREET","Local Authority","Urban","Access","Sealed","L",0.118,0.236,349,0.07,15031,1052,14647.12,8568.26,0,23215.38,44
42,"LINCOLN STREET","Local Authority","Urban","Low Volume","Sealed","L",0.183,0.366,273,0.069,18259,1257,20068.76,14491.26,0,34560.02,45
43,"LONDON QUAY","Local Authority","Urban","Secondary Collector","Sealed","L",0.25,0.5,1827,0.07,166677,11667,59167.66,38191.31,0,97358.97,46
44,"MARA PLACE","Local Authority","Urban","Low Volume","Sealed","L",0.108,0.216,131,0.07,5164,361,11468.12,8504.51,0,19972.63,47
45,"MARKET STREET (PICTON)","Local Authority","Urban","Access","Sealed","L",0.254,0.508,470,0.07,43574,3050,13110.46,7767.26,19.69,20877.72,48
46,"MILTON TERRACE","Local Authority","Urban","Low Volume","Sealed","L",1.178,2.138,172,0.07,73785,5165,14320.97,5520.13,4.24,19841.1,49
47,"MOANA VIEW ROAD","Local Authority","Urban","Access","Sealed","L",0.49,0.98,272,0.07,48647,3405,10125.62,7197.01,0,17322.63,50
47,"MOANA VIEW ROAD","Local Authority","Urban","Low Volume","Sealed","L",0.424,0.848,73,0.063,11248,704,9301.72,7697.05,0,16998.77,51
48,"NEWGATE STREET","Local Authority","Urban","Low Volume","Sealed","L",0.193,0.386,42,0.06,2944,177,14954.49,81856.77,25.91,96811.26,52
48,"NEWGATE STREET","Local Authority","Urban","Unknown","Sealed","L",0.311,0.622,,,,,23579.48,0,0,23579.48,53
49,"OTAGO STREET","Local Authority","Urban","Low Volume","Sealed","L",0.406,0.812,60,0.06,8909,535,16704.61,12731.47,0,29436.08,54
50,"OXFORD STREET NORTHWEST","Local Authority","Urban","Low Volume","Sealed","L",0.076,0.076,48,0.06,1332,80,8896.52,12473.63,0,21370.15,55
51,"OXFORD STREET SOUTH","Local Authority","Urban","Low Volume","Sealed","L",0.096,0.192,58,0.06,2032,122,6157.03,10636.33,0,16793.36,56
52,"RANUI STREET","Local Authority","Urban","Access","Sealed","L",0.449,0.898,653,0.07,107017,7491,13306.67,5535.53,19.33,18842.2,57
53,"RUSSELL STREET","Local Authority","Urban","Low Volume","Sealed","L",0.224,0.448,61,0.06,4965,298,9179.11,9362.96,0,18542.07,58
54,"RUTLAND STREET","Local Authority","Urban","Access","Sealed","L",0.119,0.238,218,0.07,9469,663,29124.31,7419.23,87.53,36543.54,59
54,"RUTLAND STREET","Local Authority","Urban","Low Volume","Sealed","L",0.039,0.039,65,0.06,925,56,17209.12,27968.16,106.84,45177.28,60
55,"SEAVIEW CRESCENT","Local Authority","Urban","Access","Sealed","L",0.138,0.276,381,0.07,19191,1343,15255.29,7499.34,0,22754.63,61
55,"SEAVIEW CRESCENT","Local Authority","Urban","Low Volume","Sealed","L",0.194,0.388,94,0.06,6656,399,11293.63,6327.88,0,17621.51,62
56,"SCOTLAND STREET WEST","Local Authority","Urban","Access","Sealed","L",0.174,0.348,176,0.07,11178,782,11182.03,5194.56,0,16376.59,63
56,"SCOTLAND STREET WEST","Local Authority","Urban","Low Volume","Sealed","L",0.161,0.322,152,0.07,8932,625,7869.34,2223.81,0,10093.15,64
57,"SCOTLAND STREET CENTRE WEST","Local Authority","Urban","Low Volume","Sealed","L",0.15,0.3,35,0.06,1910,115,10858.06,9884.72,0,20742.78,65
58,"SCOTLAND STREET CENTRE EAST","Local Authority","Urban","Low Volume","Sealed","L",0.179,0.358,93,0.065,6067,395,16987.34,10515.47,0,27502.81,66
59,"SCOTLAND STREET EAST","Local Authority","Urban","Low Volume","Sealed","L",0.197,0.394,108,0.064,7771,497,14589,7865.25,0,22454.25,67
60,"SEYMOUR STREET (PICTON)","Local Authority","Urban","Low Volume","Sealed","L",0.123,0.246,39,0.06,1751,105,15704.79,10697.59,0,26402.38,68
61,"SOUTH TERRACE EAST","Local Authority","Urban","Low Volume","Sealed","L",0.101,0.202,48,0.06,1770,106,8292.31,16023.23,0,24315.54,69
62,"SOUTH TERRACE WEST","Local Authority","Urban","Low Volume","Sealed","L",0.187,0.374,70,0.06,4778,287,33781.91,5586.85,0,39368.76,70
63,"SUFFOLK STREET","Local Authority","Urban","Access","Sealed","L",0.117,0.234,349,0.07,14904,1043,12189.61,6593.07,0,18782.68,71
63,"SUFFOLK STREET","Local Authority","Urban","Low Volume","Sealed","L",0.116,0.232,141,0.07,5970,418,9158.47,6047.04,0,15205.51,72
64,"SURREY STREET","Local Authority","Urban","Access","Sealed","L",0.114,0.228,240,0.07,9986,699,11483.49,24233.25,0,35716.74,73
64,"SURREY STREET","Local Authority","Urban","Low Volume","Sealed","L",0.1,0.2,131,0.07,4782,335,10093.54,21402.71,0,31496.25,74
65,"SUSSEX STREET","Local Authority","Urban","Access","Sealed","L",0.236,0.472,240,0.07,20631,1444,23322.76,8488.89,0,31811.65,75
65,"SUSSEX STREET","Local Authority","Urban","Low Volume","Sealed","L",0.142,0.284,101,0.069,5234,359,17570.98,14997.34,0,32568.32,76
66,"TARANAKI STREET","Local Authority","Urban","Access","Sealed","L",0.119,0.238,235,0.07,10207,715,10090.02,12501.43,0,22591.45,77
66,"TARANAKI STREET","Local Authority","Urban","Low Volume","Sealed","L",0.161,0.322,235,0.07,13810,967,16695.97,12335.54,539.33,29031.51,78
67,"THE ANCHORAGE","Local Authority","Urban","Low Volume","Sealed","L",0.083,0.166,65,0.06,1969,118,20033.71,13370.95,0,33404.66,79
68,"TURNERS ROAD","Local Authority","Urban","Access","Sealed","L",0.217,0.434,544,0.07,43088,3016,9447.9,9842.14,0,19290.04,80
69,"WAIKAWA ROAD","Local Authority","Urban","Arterial","Sealed","L",1.252,2.504,7433,0.05,3396901,169845,71365.6,18047.12,12.19,89412.72,81
69,"WAIKAWA ROAD","Local Authority","Urban","Primary Collector","Sealed","L",2.927,5.854,4616,0.057,4931216,281823,24250.14,8828.18,5.34,33078.32,82
69,"WAIKAWA ROAD","Local Authority","Urban","Secondary Collector","Sealed","L",0.528,1.056,2528,0.09,487209,43849,30251.1,11917.67,0.21,42168.77,83
70,"WAIMARAMA STREET","Local Authority","Urban","Access","Sealed","L",0.394,0.788,272,0.07,39116,2738,6855.77,3821.99,1049.86,10677.76,84
70,"WAIMARAMA STREET","Local Authority","Urban","Low Volume","Sealed","L",0.121,0.121,54,0.06,2385,143,7052.32,3723.87,0,10776.19,85
70,"WAIMARAMA STREET","Local Authority","Urban","Unknown","Sealed","L",0.37,0.37,,,,,23709.15,0,0,23709.15,86
71,"WAITOHI PLACE","Local Authority","Urban","Low Volume","Sealed","L",0.071,0.142,82,0.06,2125,128,33459.7,11040.89,0,44500.59,87
72,"WEBSTER PLACE","Local Authority","Urban","Low Volume","Sealed","L",0.24,0.48,111,0.06,9724,583,26765.9,5658,270.83,32423.9,88
73,"WELLINGTON STREET","Local Authority","Urban","Access","Sealed","L",0.094,0.188,235,0.07,8063,564,19180.21,6541.15,0,25721.36,89
73,"WELLINGTON STREET","Local Authority","Urban","Low Volume","Sealed","L",0.184,0.368,86,0.06,5755,345,6471.47,7286.84,0,13758.31,90
73,"WELLINGTON STREET","Local Authority","Urban","Secondary Collector","Sealed","L",0.433,0.866,1923,0.084,303987,25679,33546.85,10083.93,0,43630.78,91
74,"WEST TERRACE","Local Authority","Urban","Low Volume","Sealed","L",0.1,0.2,12,0.06,438,26,5522.5,6505.39,0,12027.89,92
75,"YORK STREET NORTH","Local Authority","Urban","Access","Sealed","L",0.39,0.78,297,0.07,42236,2956,17031.37,6402.57,0,23433.94,93
75,"YORK STREET NORTH","Local Authority","Urban","Low Volume","Sealed","L",0.16,0.32,176,0.07,10278,719,14971.24,2608.3,0,17579.54,94
76,"YORK STREET SOUTH","Local Authority","Urban","Access","Sealed","L",0.161,0.322,176,0.07,10343,724,37096.43,3579.39,0,40675.82,95
76,"YORK STREET SOUTH","Local Authority","Urban","Low Volume","Sealed","L",0.118,0.236,94,0.06,4049,243,9198.65,3601.48,0,12800.13,96
77,"AGINCOURT STREET","Local Authority","Urban","Access","Sealed","L",0.153,0.306,272,0.07,15190,1063,11537.56,9651.84,0,21189.4,97
78,"ALISON CRESCENT","Local Authority","Urban","Low Volume","Sealed","L",0.109,0.218,65,0.02,2586,52,31028.56,9193.65,0,40222.21,98
79,"ALMA STREET","Local Authority","Rural","Access","Sealed","L",0.65,1.3,83,0.11,19739,2171,8110.57,4886.35,0,12996.92,99
79,"ALMA STREET","Local Authority","Rural","Low Volume","Unsealed","L",0.252,0.504,29,0.11,2667,293,1146.83,5369.37,0,6516.2,100
79,"ALMA STREET","Local Authority","Rural","Secondary Collector","Sealed","L",0.347,0.694,176,0.11,22291,2452,8985.8,11114.33,0,20100.13,101
79,"ALMA STREET","Local Authority","Urban","Access","Sealed","L",0.527,1.054,285,0.07,54733,3831,21118.17,11354.5,47.44,32472.67,102
79,"ALMA STREET","Local Authority","Urban","Low Volume","Sealed","L",0.162,0.324,176,0.07,10407,728,10468.88,5400.1,0,15868.98,103
80,"ANGLESEA STREET","Local Authority","Urban","Secondary Collector","Sealed","L",0.861,1.722,1879,0.132,590475,77896,31439.66,6714.28,5.81,38153.94,104
82,"BLICKS ROAD","Local Authority","Rural","Access","Sealed","L",1.086,2.172,147,0.11,58293,6412,9554.26,1738.7,0,11292.96,105
83,"BOYCE STREET (RENWICK)","Local Authority","Urban","Primary Collector","Sealed","L",0.644,1.288,286,0.07,67227,4706,18091.9,15640.67,0,33732.57,106
84,"BROOK STREET (RENWICK)","Local Authority","Rural","Access","Unsealed","L",0.059,0.059,36,0.11,775,85,1152.54,6280.38,0,7432.92,107
84,"BROOK STREET (RENWICK)","Local Authority","Urban","Low Volume","Sealed","L",0.479,0.958,122,0.044,21283,946,9211.87,6315.33,0,15527.2,108
85,"BRYDON STREET","Local Authority","Urban","Access","Sealed","L",0.45,0.9,307,0.07,50391,3527,20978.28,13712.03,0,34690.31,109
86,"CHANTE CRESCENT","Local Authority","Urban","Low Volume","Sealed","L",0.177,0.354,69,0.02,4458,89,12356.89,10615.45,0,22972.34,110
87,"CLYDE STREET","Local Authority","Urban","Access","Sealed","L",0.263,0.526,229,0.07,21983,1539,11332.9,9953.61,0,21286.51,111
87,"CLYDE STREET","Local Authority","Urban","Low Volume","Sealed","L",0.224,0.448,160,0.07,13082,916,8254.09,5916.56,0,14170.65,112
88,"GEE STREET","Local Authority","Urban","Low Volume","Sealed","L",0.42,0.84,152,0.07,23302,1631,4019.19,135.24,0,4154.43,113
90,"HAVELOCK STREET","Local Authority","Urban","Access","Sealed","L",0.881,1.762,293,0.07,94207,6595,14121.32,7351.47,0,21472.79,114
90,"HAVELOCK STREET","Local Authority","Urban","Low Volume","Sealed","L",0.22,0.44,176,0.07,14133,989,14387.81,12201.45,0,26589.26,115
91,"INKERMAN STREET","Local Authority","Rural","Access","Sealed","L",0.704,1.408,153,0.11,39392,4333,13765.5,4943.36,0,18708.86,116
91,"INKERMAN STREET","Local Authority","Urban","Access","Sealed","L",0.409,0.818,246,0.07,36783,2575,13268.82,9215.2,0,22484.02,117
91,"INKERMAN STREET","Local Authority","Urban","Low Volume","Sealed","L",0.199,0.398,172,0.07,12493,875,18261.3,14558.88,0,32820.18,118
92,"KIRK STREET","Local Authority","Urban","Access","Sealed","L",0.115,0.23,286,0.07,12005,840,12001.64,10226.73,0,22228.37,119
93,"KOWHAI DRIVE","Local Authority","Urban","Access","Sealed","L",0.757,1.514,220,0.07,60698,4249,12554.15,9255.15,0,21809.3,120
94,"NELSON PLACE","Local Authority","Urban","Low Volume","Sealed","L",0.121,0.242,36,0.02,1590,32,28108.51,480.17,0,28588.68,121
95,"NICHOLSON STREET (RENWICK)","Local Authority","Urban","Access","Sealed","L",0.224,0.448,448,0.06,36628,2198,19759.1,11188.32,0,30947.42,122
96,"OUDENARDE STREET","Local Authority","Urban","Low Volume","Sealed","L",0.285,0.57,112,0.07,11651,816,7947.34,1138.68,0,9086.02,123
97,"PICTON STREET","Local Authority","Urban","Low Volume","Sealed","L",0.163,0.326,164,0.07,9757,683,6685.81,7451.74,0,14137.55,124
98,"ROUSEHILL STREET","Local Authority","Urban","Access","Sealed","L",0.378,0.756,286,0.07,39459,2762,12891.47,7339.01,0,20230.48,125
99,"RUSHLEIGH CRESCENT","Local Authority","Urban","Low Volume","Sealed","L",0.085,0.17,58,0.02,1799,36,18725.21,15860.55,0,34585.76,126
100,"TERRACE ROAD","Local Authority","Urban","Low Volume","Sealed","L",0.241,0.482,86,0.057,7585,431,10924.26,495.85,0,11420.11,127
101,"UXBRIDGE STREET","Local Authority","Urban","Access","Sealed","L",0.361,0.722,228,0.07,30007,2100,27810.12,3435.47,0,31245.59,128
101,"UXBRIDGE STREET","Local Authority","Urban","Low Volume","Sealed","L",0.327,0.654,160,0.07,19097,1337,18386.42,15298.87,0,33685.29,129
102,"WILSON STREET (RENWICK)","Local Authority","Urban","Low Volume","Sealed","L",0.265,0.53,152,0.07,14702,1029,10497.13,7953.42,0,18450.55,130
104,"CLIVE STREET","Local Authority","Urban","Low Volume","Sealed","L",0.055,0.11,26,0.09,522,47,26989.08,15157.83,0,42146.91,131
104,"CLIVE STREET","Local Authority","Urban","Unknown","Sealed","L",0.037,0.074,,,,,24876.21,2195.12,0,27071.33,132
105,"COOK STREET","Local Authority","Urban","Access","Sealed","L",0.405,0.81,610,0.06,90146,5409,26329.6,7590.17,0,33919.77,133
106,"HAVELOCK QUAY","Local Authority","Urban","Low Volume","Sealed","L",0.113,0.113,58,0.09,2392,215,5136.43,6235.22,0,11371.65,134
108,"INGLIS STREET WEST","Local Authority","Urban","Low Volume","Sealed","L",0.101,0.187,106,0.064,3898,248,8018.36,12681.78,0,20700.14,135
109,"INGLIS STREET EAST","Local Authority","Urban","Secondary Collector","Sealed","L",0.128,0.256,870,0.06,40646,2439,32719,10187.55,0,42906.55,136
110,"KAVANAGH PLACE","Local Authority","Urban","Low Volume","Sealed","L",0.067,0.134,70,0.09,1712,154,31909.6,18106.87,0,50016.47,137
111,"LAWRENCE STREET","Local Authority","Urban","Access","Sealed","L",0.218,0.436,235,0.06,18699,1122,9849.84,11445.1,0,21294.94,138
111,"LAWRENCE STREET","Local Authority","Urban","Low Volume","Sealed","L",0.282,0.564,100,0.07,10264,722,10924.73,10407.25,0,21331.98,139
113,"MAHAKIPAWA ROAD","Local Authority","Urban","Primary Collector","Sealed","L",0.168,0.336,1415,0.08,86768,6941,22930.59,21351.72,4067.85,44282.31,140
114,"NEIL STREET","Local Authority","Urban","Low Volume","Sealed","L",0.134,0.268,109,0.06,5331,320,29282.73,8520.51,2238.81,37803.24,141
116,"NICHOLSON STREET (HAVELOCK)","Local Authority","Urban","Low Volume","Sealed","L",0.131,0.262,32,0.09,1530,138,8426.23,11453.82,0,19880.05,142
117,"OLD COACH ROAD","Local Authority","Urban","Low Volume","Sealed","L",0.292,0.436,34,0.09,3662,330,25060.83,654.45,2036.89,25715.28,143
118,"OUTRAM STREET","Local Authority","Urban","Low Volume","Sealed","L",0.088,0.176,45,0.09,1445,130,28179.59,16747.65,0,44927.24,144
119,"PEEL STREET","Local Authority","Urban","Low Volume","Sealed","L",0.093,0.186,54,0.09,1833,165,5386.42,7128.49,0,12514.91,145
120,"ROSE STREET (HAVELOCK)","Local Authority","Urban","Low Volume","Sealed","L",0.113,0.226,48,0.09,1978,178,8626.1,8916.19,0,17542.29,146
121,"SCOTT STREET (HAVELOCK)","Local Authority","Urban","Low Volume","Sealed","L",0.123,0.246,109,0.06,4894,294,9516.75,12394.88,0,21911.63,147
122,"TAKORIKA STREET","Local Authority","Urban","Low Volume","Sealed","L",0.212,0.212,69,0.09,5339,481,9019.9,12966.51,0,21986.41,148
124,"WILSON STREET (HAVELOCK)","Local Authority","Urban","Low Volume","Sealed","L",0.165,0.33,69,0.09,4156,374,30083.56,10072.14,0,40155.7,149
125,"BEAUMONT STREET","Local Authority","Urban","Low Volume","Sealed","L",0.277,0.554,70,0.08,7077,566,4476.4,1157.59,0,5633.99,150
126,"CARKEEK STREET","Local Authority","Urban","Low Volume","Sealed","L",0.142,0.284,70,0.08,3628,290,28402.84,9183.06,0,37585.9,151
127,"CLIFFORD STREET","Local Authority","Urban","Low Volume","Sealed","L",0.242,0.484,87,0.08,7685,615,26841.28,5325.4,0,32166.68,152
128,"DUNCAN STREET (SEDDON)","Local Authority","Urban","Low Volume","Sealed","L",0.094,0.188,141,0.07,4838,339,32990.54,19035.23,0,52025.77,153
129,"MARLDENE AVENUE","Local Authority","Urban","Low Volume","Sealed","L",0.181,0.362,94,0.08,6210,497,28298.24,7339.04,0,35637.28,154
130,"FEARON STREET","Local Authority","Urban","Low Volume","Sealed","L",0.294,0.588,90,0.08,9652,772,15643.25,7007.49,0,22650.74,155
131,"FELL STREET (SEDDON)","Local Authority","Urban","Low Volume","Sealed","L",0.418,0.836,111,0.08,16935,1355,27108.83,6215.37,0,33324.2,156
132,"FOSTER STREET","Local Authority","Urban","Access","Sealed","L",0.121,0.242,141,0.07,6227,436,18316.48,12156.78,170.33,30473.26,157
132,"FOSTER STREET","Local Authority","Urban","Low Volume","Sealed","L",0.626,1.252,102,0.08,23234,1859,2793.13,3380.28,6.69,6173.41,158
133,"GOULTER STREET","Local Authority","Urban","Access","Sealed","L",0.61,1.22,260,0.07,57875,4051,36745.27,9303.39,0,46048.66,159
134,"KEY CRESCENT","Local Authority","Urban","Low Volume","Sealed","L",0.137,0.274,70,0.08,3500,280,34191.9,9653.53,0,43845.43,160
135,"NEWCOME STREET","Local Authority","Urban","Access","Sealed","L",0.141,0.282,258,0.07,13278,929,28741.44,5426.1,0,34167.54,161
136,"NURSERY ROAD","Local Authority","Urban","Low Volume","Sealed","L",0.418,0.836,96,0.071,14572,1037,3499.18,6814.96,770.33,10314.14,162
136,"NURSERY ROAD","Local Authority","Urban","Low Volume","Unsealed","L",0.265,0.53,39,0.08,3772,302,1348.23,15481.98,0,16830.21,163
137,"NURSERY LANE","Local Authority","Urban","Low Volume","Sealed","L",0.176,0.352,58,0.08,3726,298,3834.43,39562.26,3557.35,43396.69,164
138,"REDWOOD STREET (SEDDON)","Local Authority","Urban","Access","Sealed","L",0.053,0.106,258,0.07,4991,349,13049.19,9811.92,0,22861.11,165
138,"REDWOOD STREET (SEDDON)","Local Authority","Urban","Low Volume","Sealed","L",0.209,0.418,106,0.08,8086,647,13835.66,9805.52,0,23641.18,166
139,"RENWICK STREET","Local Authority","Urban","Low Volume","Sealed","L",0.084,0.168,36,0.08,1104,88,3456.92,47.62,0,3504.54,167
140,"RICHMOND STREET (SEDDON)","Local Authority","Urban","Low Volume","Sealed","L",0.222,0.444,102,0.08,8306,664,30088.94,7984.56,0,38073.5,168
141,"SCHWASS STREET","Local Authority","Urban","Low Volume","Sealed","L",0.219,0.438,94,0.08,7514,601,27436.67,7145.48,0,34582.15,169
142,"SEYMOUR STREET (SEDDON)","Local Authority","Urban","Access","Sealed","L",0.095,0.19,130,0.07,4508,316,27653.56,8683.8,0,36337.36,170
142,"SEYMOUR STREET (SEDDON)","Local Authority","Urban","Low Volume","Sealed","L",0.304,0.608,176,0.07,19529,1367,36468.03,12092.88,0,48560.91,171
143,"SIMPSON STREET","Local Authority","Urban","Low Volume","Sealed","L",0.219,0.438,106,0.08,8473,678,4884.91,5800.08,0,10684.99,172
144,"TETLEY STREET","Local Authority","Urban","Low Volume","Sealed","L",0.152,0.304,70,0.08,3884,311,26022.41,9285.86,0,35308.27,173
145,"WAKEFIELD STREET (SEDDON)","Local Authority","Urban","Access","Sealed","L",0.53,1.06,299,0.07,57801,4046,30221.91,6277.45,0,36499.36,174
146,"WELD STREET (SEDDON)","Local Authority","Urban","Low Volume","Sealed","L",0.47,0.94,161,0.07,27660,1936,29234.77,6969.59,0,36204.36,175
147,"WILSON STREET (SEDDON)","Local Authority","Urban","Low Volume","Sealed","L",0.223,0.446,130,0.07,10581,741,27546.01,4726.01,370.6,32272.02,176
148,"CRESSWELL STREET","Local Authority","Urban","Low Volume","Sealed","L",0.089,0.178,35,0.1,1137,114,4089.42,272.36,0,4361.78,177
149,"DODSON STREET (SPRING CREEK)","Local Authority","Urban","Low Volume","Sealed","L",0.371,0.742,31,0.1,4205,421,11788.08,1836.27,0,13624.35,178
150,"FERRY ROAD","Local Authority","Rural","Secondary Collector","Sealed","L",0.132,0.132,1633,0.1,78678,7868,182007.87,11578.16,0,193586.03,179
150,"FERRY ROAD","Local Authority","Urban","Secondary Collector","Sealed","L",0.966,1.932,1646,0.13,580278,75436,18446.83,4518.05,5.18,22964.88,180
151,"FREDERICK STREET","Local Authority","Urban","Low Volume","Sealed","L",0.212,0.424,45,0.1,3482,348,9887.41,3877.25,0,13764.66,181
152,"GANE STREET","Local Authority","Urban","Low Volume","Sealed","L",0.129,0.258,35,0.1,1648,165,10938.61,5239.38,0,16177.99,182
153,"GOULAND ROAD","Local Authority","Urban","Low Volume","Sealed","L",0.122,0.244,45,0.1,2004,200,4710.15,4070.19,0,8780.34,183
